"","age","animal.Alive","animal.Background","animal.Cause_of_Death","animal.Death","animal.Gender","animal.Genotype","animal.MouseID","animal.age","animal.id","animal.strain.Strain","assay.assay","experiment.date","experiment.feeding_state","id","values","experiment.time"
"46",155,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2128,198,7222,"C57BL/6J","Body Weight","2015-02-24","fed",33135,"33900",NA
"47",155,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2128,198,7222,"C57BL/6J","Grip Strength (4 Paw)","2015-02-24","fed",33141,"3520,3370,2910,2910,2400",NA
"48",65,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2098,198,7223,"C57BL/6J","Body Weight","2014-11-26","fed",19229,"25600",NA
"49",65,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2098,198,7223,"C57BL/6J","Total Fat Mass","2014-11-26","fed",19230,"3300",NA
"50",65,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2098,198,7223,"C57BL/6J","Lean Mass","2014-11-26","fed",19231,"21760",NA
"51",70,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2098,198,7223,"C57BL/6J","Body Weight","2014-12-01","fed",19413,"24500",NA
"52",70,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2098,198,7223,"C57BL/6J","Total Fat Mass","2014-12-01","fed",19414,"2090",NA
"53",70,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2098,198,7223,"C57BL/6J","Lean Mass","2014-12-01","fed",19415,"21520",NA
"54",71,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2098,198,7223,"C57BL/6J","Body Weight","2014-12-02","fasted",19504,"22800",NA
"55",71,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2098,198,7223,"C57BL/6J","Total Fat Mass","2014-12-02","fasted",19505,"1930",NA
"56",71,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2098,198,7223,"C57BL/6J","Lean Mass","2014-12-02","fasted",19506,"20410",NA
"57",85,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2098,198,7223,"C57BL/6J","Body Weight","2014-12-16","fed",20842,"29700",NA
"58",85,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2098,198,7223,"C57BL/6J","Total Fat Mass","2014-12-16","fed",20843,"6740",NA
"59",85,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2098,198,7223,"C57BL/6J","Lean Mass","2014-12-16","fed",20844,"22240",NA
"60",99,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2098,198,7223,"C57BL/6J","Body Weight","2014-12-30","fed",21246,"33000",NA
"61",99,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2098,198,7223,"C57BL/6J","Total Fat Mass","2014-12-30","fed",21247,"9110",NA
"62",99,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2098,198,7223,"C57BL/6J","Lean Mass","2014-12-30","fed",21248,"23240",NA
"63",113,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2098,198,7223,"C57BL/6J","Body Weight","2015-01-13","fed",22808,"36700",NA
"64",113,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2098,198,7223,"C57BL/6J","Total Fat Mass","2015-01-13","fed",22809,"12330",NA
"65",113,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2098,198,7223,"C57BL/6J","Lean Mass","2015-01-13","fed",22810,"23530",NA
"66",127,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2098,198,7223,"C57BL/6J","Body Weight","2015-01-27","fed",23929,"40200",NA
"67",127,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2098,198,7223,"C57BL/6J","Total Fat Mass","2015-01-27","fed",23960,"14550",NA
"68",127,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2098,198,7223,"C57BL/6J","Lean Mass","2015-01-27","fed",23990,"24750",NA
"69",141,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2098,198,7223,"C57BL/6J","Body Weight","2015-02-10","fed",25298,"42000",NA
"70",141,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2098,198,7223,"C57BL/6J","Total Fat Mass","2015-02-10","fed",25328,"15900",NA
"71",141,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2098,198,7223,"C57BL/6J","Lean Mass","2015-02-10","fed",25332,"25040",NA
"72",155,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2098,198,7223,"C57BL/6J","Total Fat Mass","2015-02-24","fed",27025,"17700",NA
"73",155,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2098,198,7223,"C57BL/6J","Lean Mass","2015-02-24","fed",27056,"24930",NA
"74",155,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2098,198,7223,"C57BL/6J","Body Weight","2015-02-24","fed",27179,"43600",NA
"75",155,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2098,198,7223,"C57BL/6J","Grip Strength (4 Paw)","2015-02-24","fed",27203,"2820,2720,2600,2290,2120",NA
"76",161,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2098,198,7223,"C57BL/6J","Total Fat Mass","2015-03-02","fed",28141,"14790","15:30:00"
"77",161,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2098,198,7223,"C57BL/6J","Lean Mass","2015-03-02","fed",28142,"25110","15:30:00"
"78",161,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2098,198,7223,"C57BL/6J","Body Weight","2015-03-02","fed",28204,"40700","15:30:00"
"79",161,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2098,198,7223,"C57BL/6J","Grip Strength (4 Paw)","2015-03-02","fed",28235,"2430,3140,2890,3060,2730","15:30:00"
"80",168,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2098,198,7223,"C57BL/6J","Total Fat Mass","2015-03-09","fed",28662,"16080",NA
"81",168,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2098,198,7223,"C57BL/6J","Lean Mass","2015-03-09","fed",28692,"25670",NA
"82",168,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2098,198,7223,"C57BL/6J","Body Weight","2015-03-09","fed",28723,"42300",NA
"83",168,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2098,198,7223,"C57BL/6J","Grip Strength (4 Paw)","2015-03-09","fed",28764,"3180,3020,2710,2230,2380,",NA
"84",175,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2098,198,7223,"C57BL/6J","Body Weight","2015-03-16","fed",29873,"44600","15:30:00"
