,Diet,Cage,variable,Food.per.Mouse,Food.Per.Week,Week
161,Control Diet,CD2,Weeks.2.4,39.43,2.816428571,4
162,Control Diet,CD3,Weeks.2.4,40.82,2.915714286,4
163,Control Diet,CD4,Weeks.2.4,69.01,4.929285714,4
164,High Fat Diet,HFD1,Weeks.4.6,40.7875,2.913392857,6
165,High Fat Diet,HFD2,Weeks.4.6,39.8675,2.847678571,6
166,High Fat Diet,HFD3,Weeks.4.6,42.3225,3.023035714,6
167,High Fat Diet,HFD4,Weeks.4.6,42.265,3.018928571,6
168,High Fat Diet,HFD5,Weeks.4.6,40.635,2.9025,6
169,High Fat Diet,HFD6,Weeks.4.6,38.955,2.7825,6
170,Control Diet,CD2,Weeks.4.6,45.25,3.232142857,6
171,Control Diet,CD3,Weeks.4.6,48.936,3.495428571,6
172,Control Diet,CD4,Weeks.4.6,59.056,4.218285714,6
173,High Fat Diet,HFD1,Week.6.8,44.45,3.175,8
174,High Fat Diet,HFD2,Week.6.8,40.62,2.901428571,8
175,High Fat Diet,HFD3,Week.6.8,47.28,3.377142857,8
176,High Fat Diet,HFD4,Week.6.8,46.08,3.291428571,8
177,High Fat Diet,HFD5,Week.6.8,44.5,3.178571429,8
178,High Fat Diet,HFD6,Week.6.8,41.33,2.952142857,8
179,Control Diet,CD2,Week.6.8,47.35,3.382142857,8
180,Control Diet,CD3,Week.6.8,47.39,3.385,8
181,Control Diet,CD4,Week.6.8,56.63,4.045,8
182,High Fat Diet,HFD1,Week.8.10,43.87,3.133571429,10
183,High Fat Diet,HFD2,Week.8.10,40.93,2.923571429,10
184,High Fat Diet,HFD3,Week.8.10,42.9,3.064285714,10
185,High Fat Diet,HFD4,Week.8.10,58.88,4.205714286,10
186,High Fat Diet,HFD5,Week.8.10,48.67,3.476428571,10
187,High Fat Diet,HFD6,Week.8.10,39.81,2.843571429,10
188,Control Diet,CD2,Week.8.10,50.39,3.599285714,10
189,Control Diet,CD3,Week.8.10,49.36,3.525714286,10
190,Control Diet,CD4,Week.8.10,42.21,3.015,10
191,High Fat Diet,HFD1,Week.10.12,41.3,2.95,12
192,High Fat Diet,HFD2,Week.10.12,38.38,2.741428571,12
193,High Fat Diet,HFD3,Week.10.12,40.56,2.897142857,12
194,High Fat Diet,HFD4,Week.10.12,42.47,3.033571429,12
195,High Fat Diet,HFD5,Week.10.12,31.88,2.277142857,12
196,High Fat Diet,HFD6,Week.10.12,38.62,2.758571429,12
197,Control Diet,CD2,Week.10.12,39.96,2.854285714,12
198,Control Diet,CD3,Week.10.12,46.26,3.304285714,12
199,Control Diet,CD4,Week.10.12,39.99,2.856428571,12
