"","age","animal.Alive","animal.Background","animal.Cause_of_Death","animal.Death","animal.Gender","animal.Genotype","animal.MouseID","animal.age","animal.id","animal.strain.Strain","assay.assay","experiment.date","experiment.feeding_state","id","values","experiment.time","experiment.fasting_time"
"82",158,FALSE,"C57BL/6J","Sacrificed","2015-02-25","M","+/+",1766,198,6999,"C57BL/6J","Body Weight","2015-01-16","fed",23182,"36600",NA,NA
"83",158,FALSE,"C57BL/6J","Sacrificed","2015-02-25","M","+/+",1766,198,6999,"C57BL/6J","Total Fat Mass","2015-01-16","fed",23206,"12950",NA,NA
"84",158,FALSE,"C57BL/6J","Sacrificed","2015-02-25","M","+/+",1766,198,6999,"C57BL/6J","Lean Mass","2015-01-16","fed",23230,"23170",NA,NA
"85",161,FALSE,"C57BL/6J","Sacrificed","2015-02-25","M","+/+",1766,198,6999,"C57BL/6J","Body Weight","2015-01-19","fed",23377,"33000","16:30:00",NA
"86",161,FALSE,"C57BL/6J","Sacrificed","2015-02-25","M","+/+",1766,198,6999,"C57BL/6J","Total Fat Mass","2015-01-19","fed",23582,"10330","16:30:00",NA
"87",161,FALSE,"C57BL/6J","Sacrificed","2015-02-25","M","+/+",1766,198,6999,"C57BL/6J","Lean Mass","2015-01-19","fed",23583,"22150","16:30:00",NA
"88",168,FALSE,"C57BL/6J","Sacrificed","2015-02-25","M","+/+",1766,198,6999,"C57BL/6J","Body Weight","2015-01-26","fed",23772,"34600",NA,NA
"89",168,FALSE,"C57BL/6J","Sacrificed","2015-02-25","M","+/+",1766,198,6999,"C57BL/6J","Total Fat Mass","2015-01-26","fed",23797,"10190",NA,NA
"90",168,FALSE,"C57BL/6J","Sacrificed","2015-02-25","M","+/+",1766,198,6999,"C57BL/6J","Lean Mass","2015-01-26","fed",23821,"23780",NA,NA
"91",161,FALSE,"C57BL/6J","Sacrificed","2015-02-25","M","+/+",1766,198,6999,"C57BL/6J","Grip Strength (4 Paw)","2015-01-19","fed",23855,"2830,2810,1970,2150,2730","16:30:00",NA
"92",168,FALSE,"C57BL/6J","Sacrificed","2015-02-25","M","+/+",1766,198,6999,"C57BL/6J","Grip Strength (4 Paw)","2015-01-26","fed",23868,"2460,3370,3020,2780,2880",NA,NA
"93",175,FALSE,"C57BL/6J","Sacrificed","2015-02-25","M","+/+",1766,198,6999,"C57BL/6J","Body Weight","2015-02-02","fed",24511,"38000",NA,NA
"94",175,FALSE,"C57BL/6J","Sacrificed","2015-02-25","M","+/+",1766,198,6999,"C57BL/6J","Total Fat Mass","2015-02-02","fed",24525,"10040",NA,NA
"95",175,FALSE,"C57BL/6J","Sacrificed","2015-02-25","M","+/+",1766,198,6999,"C57BL/6J","Lean Mass","2015-02-02","fed",24549,"27060",NA,NA
"96",175,FALSE,"C57BL/6J","Sacrificed","2015-02-25","M","+/+",1766,198,6999,"C57BL/6J","Grip Strength (4 Paw)","2015-02-02","fed",24573,"2550,2330,2690,2120,2060",NA,NA
"97",182,FALSE,"C57BL/6J","Sacrificed","2015-02-25","M","+/+",1766,198,6999,"C57BL/6J","Total Fat Mass","2015-02-09","fed",25448,"14250",NA,NA
"98",182,FALSE,"C57BL/6J","Sacrificed","2015-02-25","M","+/+",1766,198,6999,"C57BL/6J","Lean Mass","2015-02-09","fed",25472,"23690",NA,NA
"99",182,FALSE,"C57BL/6J","Sacrificed","2015-02-25","M","+/+",1766,198,6999,"C57BL/6J","Body Weight","2015-02-09","fed",25496,"38600",NA,NA
"100",184,FALSE,"C57BL/6J","Sacrificed","2015-02-25","M","+/+",1766,198,6999,"C57BL/6J","Plasma Glucose","2015-02-11","fasted",25747,"230,85,75,59,29,24,20,27,24","14:30:00",6
"101",189,FALSE,"C57BL/6J","Sacrificed","2015-02-25","M","+/+",1766,198,6999,"C57BL/6J","Total Fat Mass","2015-02-16","fed",26029,"15040","16:00:00",NA
"102",189,FALSE,"C57BL/6J","Sacrificed","2015-02-25","M","+/+",1766,198,6999,"C57BL/6J","Lean Mass","2015-02-16","fed",26030,"23970","16:00:00",NA
"103",189,FALSE,"C57BL/6J","Sacrificed","2015-02-25","M","+/+",1766,198,6999,"C57BL/6J","Body Weight","2015-02-16","fed",26067,"39700","16:00:00",NA
"104",189,FALSE,"C57BL/6J","Sacrificed","2015-02-25","M","+/+",1766,198,6999,"C57BL/6J","Grip Strength (4 Paw)","2015-02-16","fed",26079,"2640,2160,2480,2330,2450","16:00:00",NA
"105",196,FALSE,"C57BL/6J","Sacrificed","2015-02-25","M","+/+",1766,198,6999,"C57BL/6J","Body Weight","2015-02-23","fed",26697,"39600","16:00:00",NA
