"","Animal","Cage","Strain","Genotype","Age","Assay","Values","Feeding","Treatment","HFD","Rapamycin","Weight"
"54","C57BL/6J-EarTag #22",133635,"C57BL/6J","+/+",71,"Body Weight",27400,"fasted","High Fat Diet",TRUE,FALSE,27.4
"55","C57BL/6J-EarTag #23",133635,"C57BL/6J","+/+",71,"Body Weight",22820,"fasted","High Fat Diet",TRUE,FALSE,22.82
"56","C57BL/6J-EarTag #24",133635,"C57BL/6J","+/+",71,"Body Weight",25670,"fasted","High Fat Diet",TRUE,FALSE,25.67
"57","C57BL/6J-EarTag #25",133635,"C57BL/6J","+/+",71,"Body Weight",25730,"fasted","High Fat Diet",TRUE,FALSE,25.73
"58","C57BL/6J-EarTag #31",133636,"C57BL/6J","+/+",71,"Body Weight",23100,"fasted","High Fat Diet",TRUE,FALSE,23.1
"59","C57BL/6J-EarTag #32",133636,"C57BL/6J","+/+",71,"Body Weight",24710,"fasted","High Fat Diet",TRUE,FALSE,24.71
"60","C57BL/6J-EarTag #33",133636,"C57BL/6J","+/+",71,"Body Weight",25720,"fasted","High Fat Diet",TRUE,FALSE,25.72
"61","C57BL/6J-EarTag #34",133636,"C57BL/6J","+/+",71,"Body Weight",23120,"fasted","High Fat Diet",TRUE,FALSE,23.12
"62","C57BL/6J-EarTag #35",133644,"C57BL/6J","+/+",71,"Body Weight",24310,"fasted","High Fat Diet",TRUE,FALSE,24.31
"63","C57BL/6J-EarTag #36",133644,"C57BL/6J","+/+",71,"Body Weight",23870,"fasted","High Fat Diet",TRUE,FALSE,23.87
"64","C57BL/6J-EarTag #37",133644,"C57BL/6J","+/+",71,"Body Weight",23400,"fasted","High Fat Diet",TRUE,FALSE,23.4
"65","C57BL/6J-EarTag #38",133644,"C57BL/6J","+/+",71,"Body Weight",25050,"fasted","High Fat Diet",TRUE,FALSE,25.05
"66","C57BL/6J-EarTag #39",133644,"C57BL/6J","+/+",71,"Body Weight",23760,"fasted","High Fat Diet",TRUE,FALSE,23.76
