"","Subject","Light.Dark","Fasting_stat","RER","SumXYAmb","VO2.LBM","Lean","Fat","Percent.Fat","Weight"
"151","2124","Dark","Pre_fasting",0.848867043362832,1184.15044247788,6.652342985911,20.73,0.98,4.45454545454546,22
"153","2124","Light","Pre_fasting",0.827882418918919,605.099099099099,6.45594141267172,20.73,0.98,4.45454545454546,22
"155","2124","Light","After_fasting",NA,NA,NA,18.79,0.59,2.93532338308458,20.1
"156","2124","Light","After_HFD",NA,NA,NA,26.11,16.05,36.8965517241379,43.5
"157","2125","Dark","Pre_fasting",0.83666165,2653.33035714286,4.51537171957095,22.93,1.95,7.64705882352941,25.5
"159","2125","Light","Pre_fasting",0.809447047321429,1234.04464285714,3.84482503270824,22.93,1.95,7.64705882352941,25.5
"161","2125","Light","After_fasting",NA,NA,NA,22.26,1.19,4.91735537190083,24.2
"162","2125","Light","After_HFD",NA,NA,NA,24.78,11.13,30.2445652173913,36.8
"163","2126","Dark","Pre_fasting",0.825916708928571,2869.3125,5.20119649362597,21.74,2.07,8.51851851851852,24.3
"165","2126","Light","Pre_fasting",0.787911694642857,1167.92857142857,4.23237581854821,21.74,2.07,8.51851851851852,24.3
"167","2126","Light","After_fasting",NA,NA,NA,21.28,1.76,7.39495798319328,23.8
"168","2126","Light","After_HFD",NA,NA,NA,24.81,16.72,39.5271867612293,42.3
"169","2127","Dark","Pre_fasting",0.856811801785714,1736.15178571429,4.65505432676519,22.04,2.23,9.13934426229508,24.4
"171","2127","Light","Pre_fasting",0.798011515178571,517.089285714286,4.01903167217613,22.04,2.23,9.13934426229508,24.4
"173","2127","Light","After_fasting",NA,NA,NA,20.83,1.64,7.0995670995671,23.1
"174","2127","Light","After_HFD",NA,NA,NA,24.16,13.21,34.6719160104987,38.1
"175","2128","Dark","Pre_fasting",0.885032492857143,1407.70535714286,1.73869667675983,21.62,1.25,5.38793103448276,23.2
"177","2128","Light","Pre_fasting",0.860891611607143,694.133928571429,1.58051177795031,21.62,1.25,5.38793103448276,23.2
"179","2128","Light","After_fasting",NA,NA,NA,21.24,1.09,4.78070175438596,22.8
"180","2128","Light","After_HFD",NA,NA,NA,25.9,7.11,20.9734513274336,33.9
