"","X.1","ensembl_transcript_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","X","gene_biotype","external_gene_name","ensembl_gene_id"
"18",18,"ENSMUST00000000129",182.120860145236,0.216215474354355,0.196802055093002,1.18100294661059,0.277151910126366,1,72683,"protein_coding","Fer","ENSMUSG00000000127"
"19",19,"ENSMUST00000000137",2045.29621322079,0.201276290513241,0.124518406379987,2.61791083896713,0.105663474158636,1,45212,"protein_coding","Actr2","ENSMUSG00000020152"
"18580",18580,"ENSMUST00000094194",65.4005329233439,3.4570236425886,1.79250522548279,1.25538731313046,NA,NA,49058,"protein_coding","Acsl6","ENSMUSG00000020333"
"21",21,"ENSMUST00000000153",2392.24326559943,0.364891410118025,0.286456389969091,1.62496606931467,0.202400728107688,1,89477,"protein_coding","Gna12","ENSMUSG00000000149"
"22",22,"ENSMUST00000000161",35.7360234168069,-0.429186294315452,1.66667016342257,0.0539860927928828,0.81626689860987,1,86289,"protein_coding","Itgb2l","ENSMUSG00000000157"
"23",23,"ENSMUST00000000163",220.629761048121,-0.0608075188365501,1.40027037964642,0.00184269184362051,0.965760055177517,1,85888,"protein_coding","Igsf5","ENSMUSG00000000159"
"24",24,"ENSMUST00000000171",54.5013850960175,1.97387416623295,1.0141466970246,2.6762182017101,0.101857358076004,1,71699,"protein_coding","Pih1d2","ENSMUSG00000000167"
"25",25,"ENSMUST00000000175",2228.37058711451,0.45566653655947,0.309357306862778,2.15725443760283,0.14189803550799,1,8272,"protein_coding","Sdhd","ENSMUSG00000000171"
"26",26,"ENSMUST00000000186",6.60080532162687,-0.0960042439780053,0.458042761850779,0.041851694345155,0.837902730914822,1,79368,"protein_coding","Fgf23","ENSMUSG00000000182"
"27",27,"ENSMUST00000000187",105.851865885765,-0.228772747801929,0.788220379943081,0.0533331852403194,0.81736158047983,1,78250,"protein_coding","Fgf6","ENSMUSG00000000183"
"28",28,"ENSMUST00000000188",1723.31716750131,-0.151130468839851,0.536812670691029,0.0553633378223708,0.813980433991461,1,85995,"protein_coding","Ccnd2","ENSMUSG00000000184"
"29",29,"ENSMUST00000000193",24.7883703855518,0.146926992614958,0.797148157708381,0.0265477224067752,0.870569834877635,1,96273,"protein_coding","Ccl2","ENSMUSG00000035385"
"30",30,"ENSMUST00000000194",20.9229865093847,0.291415364356311,0.500178034319765,0.32958772782635,0.565901949758207,1,97850,"protein_coding","Ccl12","ENSMUSG00000035352"
"31",31,"ENSMUST00000000199",121.670751886998,0.4396372006622,0.502712913721161,0.717033910862824,0.397118566948401,1,106419,"protein_coding","Ncs1","ENSMUSG00000062661"
"32",32,"ENSMUST00000000201",35.9741302901435,0.0212789293508249,0.531677206767505,0.00158688101731741,0.968224134110584,1,14404,"protein_coding","Nalcn","ENSMUSG00000000197"
"33",33,"ENSMUST00000000206",49.2223410631778,-0.0355482165258808,0.814897568377769,0.00190753640640651,0.965163186407222,1,6914,"protein_coding","Btbd17","ENSMUSG00000000202"
"44356",44356,"ENSMUST00000167596",10.9529948607514,0.191120306886433,0.856394800014475,0.041536613425734,0.838505625820221,1,97293,"protein_coding","Slfn4","ENSMUSG00000000204"
"35",35,"ENSMUST00000000219",0.892154208244929,3.4936130631384,2.99840747415764,0.599118711250092,0.438914475346552,1,18189,"protein_coding","Th","ENSMUSG00000000214"
"36",36,"ENSMUST00000000220",0,NA,NA,NA,NA,NA,108481,"protein_coding","Ins2","ENSMUSG00000000215"
"37",37,"ENSMUST00000000221",4.1634973172598,-0.211989187900103,0.860721676780357,0.0599443784432623,0.806583874232363,1,66828,"protein_coding","Scnn1g","ENSMUSG00000000216"
"38",38,"ENSMUST00000000253",13.2313499205463,1.03677614313508,2.07533678057225,0.0777851059275179,0.780321711728117,1,46661,"protein_coding","Lhx2","ENSMUSG00000000247"
"39",39,"ENSMUST00000000254",13.2804013497858,0.272398766916311,0.656160950521312,0.173550657151367,0.676975314175266,1,74664,"protein_coding","Clec2g","ENSMUSG00000000248"
"40",40,"ENSMUST00000000260",123.267345007159,-0.284337630367085,0.344061683412854,0.634165899656949,0.425831339465636,1,66811,"protein_coding","Gmpr","ENSMUSG00000000253"
"41",41,"ENSMUST00000000266",2.08202232598538,-2.10265205272255,1.15284501940492,2.87425335928877,0.0900067113186892,1,54037,"protein_coding","Ifi202b","ENSMUSG00000026535"
"42",42,"ENSMUST00000000275",0.0480008013429028,-1.00044377243693,3.52253726362674,0.148965274163363,0.699526146813328,1,25872,"protein_coding","Glra3","ENSMUSG00000038257"
"23553",23553,"ENSMUST00000107896",997.481617683025,-0.702836004979741,0.367758774428945,3.03709818519008,0.0813812734843688,1,103840,"protein_coding","Trim25","ENSMUSG00000000275"
"23552",23552,"ENSMUST00000107894",425.01766555989,-0.271769737363188,0.261069415950162,1.04845347618576,0.305863534196733,1,103927,"protein_coding","Dgke","ENSMUSG00000000276"
"45",45,"ENSMUST00000000287",932.507228228626,-0.00553083870727828,0.364059693655354,0.000214025296713771,0.98832768165061,1,102496,"protein_coding","Scpep1","ENSMUSG00000000278"
"46",46,"ENSMUST00000000291",1023.72989601614,-0.0500797571681707,0.251713348531813,0.0393347070709069,0.842787042646808,1,27051,"protein_coding","Mnt","ENSMUSG00000000282"
"47",47,"ENSMUST00000000299",256.429366549003,-0.196387963809678,0.636530438314067,0.0623157806363679,0.802872499053686,1,6785,"protein_coding","Itgb2","ENSMUSG00000000290"
"48",48,"ENSMUST00000000304",582.863137528208,-0.120639603986066,0.369788770707835,0.106151254910287,0.744569158752039,1,4734,"protein_coding","Hddc2","ENSMUSG00000000295"
"49",49,"ENSMUST00000000305",1686.61776870233,0.153387601749517,0.823401541156865,0.0334409748123221,0.854901013821464,1,108186,"protein_coding","Tpd52l1","ENSMUSG00000000296"
"20943",20943,"ENSMUST00000102693",1818.93734189739,0.18293361880908,0.584661312719316,0.0914015956307139,0.762402822070117,1,61949,"protein_coding","Pemt","ENSMUSG00000000301"
"51",51,"ENSMUST00000000312",2783.63743172989,-0.0423666324430244,0.861855237559036,0.00229917754495546,0.961756298339721,1,97164,"protein_coding","Cdh1","ENSMUSG00000000303"
"52",52,"ENSMUST00000000314",21.3002270063752,-0.00561837628057572,0.336331761377917,0.000276147973096386,0.986741603474482,1,80338,"protein_coding","Cdh4","ENSMUSG00000000305"
"15841",15841,"ENSMUST00000078222",40.4711261649949,0.122852220391755,0.736734077158986,0.0258355161314512,0.872302670880783,1,105486,"protein_coding","Ckmt1","ENSMUSG00000000308"
"54",54,"ENSMUST00000000326",247.076130985592,-0.176825792060726,0.59037844377733,0.0605416026821786,0.805641954229265,1,59828,"protein_coding","Bcl6b","ENSMUSG00000000317"
"20844",20844,"ENSMUST00000102571",186.483036660114,-0.295844156848949,1.22238883733235,0.0308427473043764,0.860591677068499,1,51272,"protein_coding","Clec10a","ENSMUSG00000000318"
"56",56,"ENSMUST00000000329",616.076723367697,-0.523665689367787,0.602768689578398,0.746650053297344,0.387538920717703,1,90640,"protein_coding","Alox12","ENSMUSG00000000320"
"57",57,"ENSMUST00000000335",4100.96569953979,0.443183599284034,0.368210441964725,1.44747318053521,0.228933835190538,1,24106,"protein_coding","Comt","ENSMUSG00000000326"
"58",58,"ENSMUST00000000342",221.860434124424,-1.10668076714489,0.828838608464768,0.610073064303975,0.434760301468893,1,97241,"protein_coding","Ccl11","ENSMUSG00000020676"
"59",59,"ENSMUST00000000348",482.053261059468,0.219716640647697,0.26782238756588,0.667733688416718,0.413842863931513,1,29622,"protein_coding","Rtca","ENSMUSG00000000339"
"60",60,"ENSMUST00000000349",1138.0503577713,0.158322920037533,0.53731199050066,0.0739148188008016,0.785719827011805,1,37719,"protein_coding","Dbt","ENSMUSG00000000340"
"61",61,"ENSMUST00000000356",5799.47915295553,-0.0550349939838341,0.186585705308192,0.0870093378684373,0.768014159472207,1,35734,"protein_coding","Dazap2","ENSMUSG00000000346"
"62",62,"ENSMUST00000000365",368.491537167571,0.0448637223187493,0.203927842941133,0.0479392047740532,0.826688814967212,1,73103,"protein_coding","Mcts1","ENSMUSG00000000355"
"63",63,"ENSMUST00000000369",853.06035253316,0.123959654417888,0.662558136376941,0.0348787996755959,0.851849855657207,1,31585,"protein_coding","Rem1","ENSMUSG00000000359"
"64",64,"ENSMUST00000000384",1575.00355272495,-0.00791661181320453,0.275434314775118,0.000827790502967218,0.97704695188397,1,6925,"protein_coding","Trappc10","ENSMUSG00000000374"
"65",65,"ENSMUST00000000388",509.146314250201,0.158265507787238,0.227857522579526,0.474640829345901,0.490859881715618,1,12623,"protein_coding","Ccm2","ENSMUSG00000000378"
"66",66,"ENSMUST00000000394",503.530789557579,0.495583331682549,0.284900795507078,3.02897765568272,0.0817895367177052,1,11903,"protein_coding","Tbrg4","ENSMUSG00000000384"
"67",67,"ENSMUST00000000395",162.384563811421,0.278791491984053,0.692582369194315,0.154897752782659,0.693898151110553,1,90963,"protein_coding","Tmprss2","ENSMUSG00000000385"
"20976",20976,"ENSMUST00000102732",40.2526413879887,-1.95911164273014,1.18072402191014,0.612797345263999,0.433736500147548,1,8149,"protein_coding","Fap","ENSMUSG00000000392"
"69",69,"ENSMUST00000000412",221.465412332889,0.0356679038480307,0.648436156269336,0.00295155019182403,0.956673705276193,1,18957,"protein_coding","Egfl6","ENSMUSG00000000402"
"70",70,"ENSMUST00000000421",241.951356600326,1.92658060096137,1.43637778995378,0.576314700640154,NA,NA,34958,"protein_coding","Tssk3","ENSMUSG00000000411"
"48880",48880,"ENSMUST00000178605",1481.9941298602,0.0642410053743009,0.155619917968503,0.170892373025708,0.679319942302929,1,29939,"protein_coding","Galnt1","ENSMUSG00000000420"
"72",72,"ENSMUST00000000445",0.19845823637672,1.03386755213044,3.33072214456965,0.097000943149677,0.755458742549871,1,25750,"protein_coding","Myf5","ENSMUSG00000000435"
"73",73,"ENSMUST00000000449",616.037314183945,0.120600767097028,0.21085816959558,0.328266366312874,0.566681701942738,1,106308,"protein_coding","Mkrn2","ENSMUSG00000000439"
"74",74,"ENSMUST00000000450",789.957152265131,-0.426179521655033,0.852189280598953,0.100835751745706,0.750828995140531,1,19284,"protein_coding","Pparg","ENSMUSG00000000440"
"75",75,"ENSMUST00000000451",1383.85211462624,0.118544335065912,0.217223993056811,0.297336280094385,0.585557172894447,1,47003,"protein_coding","Raf1","ENSMUSG00000000441"
"76",76,"ENSMUST00000000466",4126.42461019193,1.14393302780041,0.821081790533457,1.56301507017508,0.211224301547348,1,36752,"protein_coding","Plin2","ENSMUSG00000028494"
"77",77,"ENSMUST00000000476",1599.23931759624,-0.04592114528844,0.56991768169364,0.00648178184849257,0.9358320297021,1,24964,"protein_coding","Pdgfra","ENSMUSG00000029231"
"78",78,"ENSMUST00000000500",895.17594043796,-1.02671356619637,0.478451396233757,3.44735086925908,0.0633532349654308,1,22621,"protein_coding","Pdgfb","ENSMUSG00000000489"
"79",79,"ENSMUST00000000505",786.297160279122,0.190733246743705,0.409833307056513,0.217381503220906,0.641042365547502,1,78584,"protein_coding","Mcm7","ENSMUSG00000029730"
"80",80,"ENSMUST00000000514",66.7645722007885,-0.057097101206959,0.479845980029307,0.0121453335874548,0.912246107748153,1,85215,"protein_coding","Serpinb8","ENSMUSG00000026315"
"29758",29758,"ENSMUST00000120754",549.542344159784,-0.381775474578515,0.362576693314834,1.016945764718,0.313244579437163,1,87826,"protein_coding","Acvrl1","ENSMUSG00000000530"
"82",82,"ENSMUST00000000543",158.509779147158,-0.567517127231905,0.522969807444156,0.852640370780676,0.355806461265698,1,35831,"protein_coding","Grasp","ENSMUSG00000000531"
"83",83,"ENSMUST00000000544",1523.75360703648,-0.109207147076123,0.194593011884747,0.315168423102364,0.574525816957001,1,91357,"protein_coding","Acvr1b","ENSMUSG00000000532"
"53657",53657,"ENSMUST00000197284",24.931128536403,-0.555116620429196,0.431509277016264,1.57635852060744,0.209285999896052,1,56983,"protein_coding","Gabra2","ENSMUSG00000000560"
"85",85,"ENSMUST00000000573",69.5669977160676,-0.114806553479089,0.311694067601208,0.135945253186691,0.712345724861091,1,77390,"protein_coding","Ovgp1","ENSMUSG00000074340"
"86",86,"ENSMUST00000000574",19.2666624682455,0.409799081602718,0.550100762720201,0.530363942714359,0.466453890607882,1,68458,"protein_coding","Adora3","ENSMUSG00000000562"
"87",87,"ENSMUST00000000579",901.187920704631,0.12561969392971,0.465620132146678,0.0717225142673215,0.788845115668115,1,97173,"protein_coding","Sox9","ENSMUSG00000000567"
"42537",42537,"ENSMUST00000163153",1915.59358644192,0.0449053284502019,0.122799216223753,0.133646618892271,0.714680662617741,1,10187,"protein_coding","Rdx","ENSMUSG00000032050"
"89",89,"ENSMUST00000000594",529.471664827683,0.0709225591205155,0.18843602405745,0.141181118553845,0.707109632626254,1,12078,"protein_coding","C1d","ENSMUSG00000000581"
"90",90,"ENSMUST00000000608",3975.19907403661,0.241200804613307,0.165758588485094,2.12016532822088,0.145370850970079,1,2456,"protein_coding","Gm2a","ENSMUSG00000000594"
"91",91,"ENSMUST00000000619",1747.21917873374,0.124620279476955,0.0906545998109677,1.89285487236739,0.16888027149444,1,36830,"protein_coding","Clcn4-2","ENSMUSG00000000605"
"92",92,"ENSMUST00000000631",2.87425672823791,-0.586541011408662,1.19192762475323,0.202290204489287,0.652878575036804,1,29234,"protein_coding","Grm6","ENSMUSG00000000617"
"24347",24347,"ENSMUST00000109135",63.8033994303534,0.214942520946418,0.188564037331045,1.29734381667879,0.254698976617992,1,26874,"protein_coding","Zfp354c","ENSMUSG00000044807"
"94",94,"ENSMUST00000000641",24.37025791061,-0.225996249465305,0.542591110128219,0.171278295041844,0.678978236307261,1,42272,"protein_coding","Sema4f","ENSMUSG00000000627"
"95",95,"ENSMUST00000000642",2603.14253763253,-0.0397830629349736,0.365435831878977,0.011863336462568,0.913266780531785,1,40244,"protein_coding","Hk2","ENSMUSG00000000628"
"18323",18323,"ENSMUST00000092887",626.672570429757,-0.320191102261283,0.916824900135006,0.120959747517816,0.72799588821,1,8181,"protein_coding","Myo18a","ENSMUSG00000000631"
"39055",39055,"ENSMUST00000151982",20.2445135170536,-0.305388140235275,1.17493379902479,0.0276244214700512,0.867994868501491,1,93250,"protein_coding","Sez6","ENSMUSG00000000632"
"98",98,"ENSMUST00000000674",118.17638412613,0.902535588063197,0.592091936268638,2.27850442927843,0.131178314567467,1,41181,"protein_coding","St7","ENSMUSG00000029534"
"99",99,"ENSMUST00000000687",727.804935314432,1.62718069473979,1.10437118825706,1.83618242135225,NA,NA,15625,"protein_coding","Haao","ENSMUSG00000000673"
"100",100,"ENSMUST00000000696",10116.3337919109,0.398431104083687,0.871635203555892,0.160058760973698,0.689102422760122,1,83756,"protein_coding","Cd52","ENSMUSG00000000682"
"101",101,"ENSMUST00000000704",1319.8025523796,0.158534202478973,1.03066511526517,0.0226913787598164,0.880262405208104,1,55818,"protein_coding","Hoxb6","ENSMUSG00000000690"
"102",102,"ENSMUST00000000707",308.044888237846,0.0141451316802,0.339271473077072,0.00171797820476627,0.966938348079928,1,60983,"protein_coding","Loxl3","ENSMUSG00000000693"
"103",103,"ENSMUST00000000717",0.0480008013429028,-1.00044377243693,3.52253726362674,0.148965274163363,0.699526146813328,1,24975,"protein_coding","Tcl1b5","ENSMUSG00000000701"
"104",104,"ENSMUST00000000718",0.0614953573407423,1.80786205777498,3.51048144411258,0.393249748056895,0.530596123535829,1,13301,"protein_coding","Tcl1b4","ENSMUSG00000079007"
"105",105,"ENSMUST00000000724",880.402666382378,0.0468401638903453,0.268769790986299,0.0291737412815678,0.864378494052719,1,22684,"protein_coding","Kat2b","ENSMUSG00000000708"
"106",106,"ENSMUST00000000727",2888.40262109358,0.015384212238602,0.144681530168132,0.0112983481909055,0.915349339159586,1,31962,"protein_coding","Rab5b","ENSMUSG00000000711"
"33054",33054,"ENSMUST00000131825",7.92898319511814,0.373279550971436,0.900355536676978,0.172680103784046,0.677740816470622,1,66216,"protein_coding","Dnmt3l","ENSMUSG00000000730"
"108",108,"ENSMUST00000000755",396.311147845837,0.440892163365571,0.391011656400516,1.25938521487555,0.261767493102108,1,88736,"protein_coding","Sult5a1","ENSMUSG00000000739"
"109",109,"ENSMUST00000000756",14224.2011274125,0.0552315623324776,0.145935194590932,0.143608938534896,0.704719275488709,1,93781,"protein_coding","Rpl13","ENSMUSG00000000740"
"110",110,"ENSMUST00000000759",2647.14138802847,0.025828615617593,0.143113419950136,0.0326476593627376,0.856613551372349,1,87958,"protein_coding","Chmp1a","ENSMUSG00000000743"
"111",111,"ENSMUST00000000767",904.99134747707,0.43129961635908,0.319072037333327,1.82318640937206,0.176934457416774,1,98937,"protein_coding","Rpa1","ENSMUSG00000000751"
"44909",44909,"ENSMUST00000168902",1146.89213162417,1.721596560602,0.780023346799799,4.67378293473939,NA,NA,102915,"protein_coding","Serpinf1","ENSMUSG00000000753"
"113",113,"ENSMUST00000000776",403.271911494241,0.0436774627335438,0.30824122845733,0.0200534186488994,0.887387993636209,1,19315,"protein_coding","Tubgcp3","ENSMUSG00000000759"
"40011",40011,"ENSMUST00000154906",0.749712551743349,-1.79963318774816,1.6249812853071,1.20672185451374,0.27198232335285,1,97671,"protein_coding","Oprm1","ENSMUSG00000000766"
"49585",49585,"ENSMUST00000180358",469.972410911423,-0.117892144032381,0.436255938283951,0.072900404382608,0.78715967749037,1,63680,"protein_coding","Polr3d","ENSMUSG00000000776"
"116",116,"ENSMUST00000000804",2483.59145678526,0.0449725636965242,0.146471544410382,0.0941218493923088,0.759001055112671,1,30334,"protein_coding","Ddx3x","ENSMUSG00000000787"
"117",117,"ENSMUST00000000808",47.3489433339381,-0.242125535707734,0.410784731314185,0.344697011033645,0.557130484488836,1,30823,"protein_coding","Il12rb1","ENSMUSG00000000791"
"118",118,"ENSMUST00000000809",12.6685998524213,-0.0334490350656251,0.908384945553204,0.00135474704404714,0.970638981510657,1,44390,"protein_coding","Slc5a5","ENSMUSG00000000792"
"119",119,"ENSMUST00000000811",8.72810094488376,1.21045264186611,1.33859587892961,0.74927396894897,NA,NA,53464,"protein_coding","Kcnn3","ENSMUSG00000000794"
"23661",23661,"ENSMUST00000108075",722.913606338313,0.384955353650213,0.346710076002693,1.20573177878117,NA,NA,65481,"protein_coding","Usp32","ENSMUSG00000000804"
"121",121,"ENSMUST00000000828",864.149699887237,1.01275656305537,0.613169300237721,2.27629226691147,NA,NA,85060,"protein_coding","Txnrd3","ENSMUSG00000000811"
"122",122,"ENSMUST00000000834",3.35705461770411,-0.382186747422396,0.906062507220344,0.17573215029141,0.675066912463283,1,75658,"protein_coding","Fasl","ENSMUSG00000000817"
"24149",24149,"ENSMUST00000108799",230.752251928491,0.233639223543545,0.187744570138352,1.54185059367455,0.214342558077203,1,98728,"protein_coding","Tpd52l2","ENSMUSG00000000827"
"24559",24559,"ENSMUST00000109514",21.0470739730778,0.598942426409153,0.725011737227306,0.57453325883526,0.448463122359896,1,83050,"protein_coding","Bcl11a","ENSMUSG00000000861"
"125",125,"ENSMUST00000000889",0.0614953573407423,1.80786205777498,3.51048144411258,0.393249748056895,0.530596123535829,1,10775,"protein_coding","Il4","ENSMUSG00000000869"
"21309",21309,"ENSMUST00000103145",72.3464478171437,-0.0431993923898782,0.838290839100576,0.00265768524855048,0.958885075336087,1,86527,"protein_coding","E2f1","ENSMUSG00000027490"
"127",127,"ENSMUST00000000895",51.4983963852235,0.699732781446072,1.2318848549896,0.216895773779186,NA,NA,82396,"protein_coding","Necab3","ENSMUSG00000027489"
"128",128,"ENSMUST00000000896",1609.48521127331,0.632286682210075,0.554393554153637,1.23670103425331,0.266107793487845,1,86803,"protein_coding","Pxmp4","ENSMUSG00000000876"
"27122",27122,"ENSMUST00000113735",478.491363396723,0.304984779186601,0.354730361712407,0.737806120206585,0.390364563612588,1,40615,"protein_coding","Dlg3","ENSMUSG00000000881"
"28320",28320,"ENSMUST00000115600",66.1463702376086,0.467874007691349,0.402953903537208,1.33169521802387,0.248503860543215,1,12262,"protein_coding","Gnb1l","ENSMUSG00000000884"
"131",131,"ENSMUST00000000910",15.7707522010073,0.0392604851352796,1.01548668842569,0.00132656269337872,0.970945865682131,1,86773,"protein_coding","Dbh","ENSMUSG00000000889"
"132",132,"ENSMUST00000000924",333.838720264443,-0.872231194041133,0.532921950125944,1.98366453603728,0.159004887252278,1,47996,"protein_coding","Mmp11","ENSMUSG00000000901"
"29923",29923,"ENSMUST00000121304",692.904168748886,-0.213630313334197,0.16782016092691,1.6185689247107,0.203291446099321,1,38075,"protein_coding","Smarcb1","ENSMUSG00000000902"
"134",134,"ENSMUST00000000926",4.30951980993964,-0.478530143066637,0.94064886731982,0.252126991748156,0.615581363294978,1,66351,"protein_coding","Vpreb3","ENSMUSG00000000903"
"135",135,"ENSMUST00000000939",4122.181349886,0.0513745942260766,0.583750742236776,0.00759043052795505,0.930573682416804,1,53530,"protein_coding","Hip1r","ENSMUSG00000000915"
"136",136,"ENSMUST00000000940",317.812105983607,-0.124101759217336,0.216559654715515,0.327720124395427,0.567004655340953,1,61107,"protein_coding","Nsun5","ENSMUSG00000000916"
"137",137,"ENSMUST00000000958",391.615744606005,0.446563152874595,0.311197782758896,2.04955626251856,0.152250558730763,1,21490,"protein_coding","Top1mt","ENSMUSG00000000934"
"29634",29634,"ENSMUST00000120363",17.741461960955,-0.336464231492089,0.779890466800502,0.124982931308011,0.723691703581343,1,82201,"protein_coding","Hoxa1","ENSMUSG00000029844"
"53310",53310,"ENSMUST00000195970",75.223322234322,0.434052279809057,0.680141001643358,0.408632196978232,0.522664565764559,1,10993,"protein_coding","Slc7a7","ENSMUSG00000000958"
"140",140,"ENSMUST00000000985",1530.84661107733,-0.0529471330182918,0.115212092699226,0.210738620669247,0.646189095727686,1,9524,"protein_coding","Oxa1l","ENSMUSG00000000959"
"141",141,"ENSMUST00000001002",508.37900570307,-0.00237020005921851,0.166417158504078,0.000199942227283145,0.98871821413716,1,51805,"protein_coding","Heatr6","ENSMUSG00000000976"
"142",142,"ENSMUST00000001008",4.93634204628176,0.261960874813967,0.791809355245132,0.0815064993983725,0.775266136053942,1,14233,"protein_coding","Ccl3","ENSMUSG00000000982"
"143",143,"ENSMUST00000001009",4.5501565621361,0.679984387759506,0.983644490742005,0.474132111255145,0.491092320935552,1,28647,"protein_coding","Wfdc18","ENSMUSG00000000983"
"144",144,"ENSMUST00000001027",1474.97922094966,-0.0582076071725166,0.649230832842763,0.00544241122656786,0.941191250269014,1,89261,"protein_coding","Aox1","ENSMUSG00000063558"
"145",145,"ENSMUST00000001036",836.842174340372,-0.0506779793906995,0.0831950189902416,0.371194831381445,0.542353701978501,1,51065,"protein_coding","Tyk2","ENSMUSG00000032175"
"146",146,"ENSMUST00000001040",10.7220673096529,0.626977930522182,0.694599023868755,0.790057275700065,0.374082807148417,1,10922,"protein_coding","Icam4","ENSMUSG00000001014"
"147",147,"ENSMUST00000001042",1235.09386065848,0.111159163986691,0.151876714717789,0.537447967416824,0.463492300082689,1,42327,"protein_coding","Ilf2","ENSMUSG00000001016"
"10281",10281,"ENSMUST00000049937",659.299335393273,0.141753972344486,0.165667630056914,0.733380249557854,0.391789707533637,1,51627,"protein_coding","Chtop","ENSMUSG00000001017"
"149",149,"ENSMUST00000001046",151.351336230448,-0.715742358070637,0.736299237093287,0.486155903763574,0.48564709723938,1,72389,"protein_coding","S100a4","ENSMUSG00000001020"
"150",150,"ENSMUST00000001047",2.31967338627456,-0.633263540508906,0.902970311629215,0.481965317090783,0.487533454812992,1,72552,"protein_coding","S100a3","ENSMUSG00000001021"
"151",151,"ENSMUST00000001049",0,NA,NA,NA,NA,NA,20341,"protein_coding","S100a5","ENSMUSG00000001023"
"53883",53883,"ENSMUST00000198128",644.369825364085,-0.428140321080706,0.54604445750561,0.420491815946036,0.516691739654311,1,22006,"protein_coding","S100a6","ENSMUSG00000001025"
"153",153,"ENSMUST00000001055",156.886995249018,-0.485897357353698,0.705463443478623,0.277918004204139,0.598069088737029,1,5131,"protein_coding","Icam2","ENSMUSG00000001029"
"154",154,"ENSMUST00000001059",2583.35930727806,-0.170503707562246,0.501957554025455,0.112635331942386,0.73716356649943,1,22040,"protein_coding","Ern1","ENSMUSG00000020715"
"24108",24108,"ENSMUST00000108713",1117.05695523007,-0.514521585414377,0.311686468826086,2.50719893557317,0.113327203127652,1,62040,"protein_coding","Epn2","ENSMUSG00000001036"
"156",156,"ENSMUST00000001079",1321.13814123749,-0.0378632905665607,0.235216767337997,0.0258576187317203,0.872248528232169,1,50046,"protein_coding","Sec24b","ENSMUSG00000001052"
