Name	Size	NES	NOM p-value	FDR q-value	Gene Details
BIOCARTA_GH_PATHWAY	24.0	1.7360933	0.004132231	0.070518196	GHR,SLC2A4,IRS1,PRKCA,PIK3R1,PIK3CG,SOCS1,MAPK3,STAT5B,INSR,PIK3CA
BIOCARTA_THELPER_PATHWAY	12.0	1.7358673	0.0028818443	0.06746076	CD247,ITGB2,PTPRC,CD2,THY1,ITGAL,CD3G,CD4,CD3E,ICAM1
BIOCARTA_LYM_PATHWAY	10.0	1.735237	0.008152174	0.06497646	PECAM1,ITGB2,ITGA4,SELL,ITGAL,IL1A,CD34,VCAM1,ITGB1,ICAM1
BIOCARTA_GPCR_PATHWAY	32.0	1.7345316	0.0	0.06249069	PRKAR2B,GNGT1,GNAI1,PRKCA,NFATC2,FOS,NFATC1,RPS6KA3,NFATC4,JUN,ELK1,MAPK3
BIOCARTA_IGF1_PATHWAY	21.0	1.7206429	0.007490637	0.06820968	IRS1,PIK3R1,PIK3CG,FOS,IGF1,JUN,ELK1,PTPN11,MAPK3,PIK3CA
BIOCARTA_DEATH_PATHWAY	30.0	1.719972	0.0	0.06578776	TNFSF12,TNFSF10,TNFRSF25,TNFRSF10B,SPTAN1,APAF1,NFKBIA,CFLAR,BID,CASP8,LMNA,BCL2,DFFA,MAP3K14,RIPK1,NFKB1
BIOCARTA_CTL_PATHWAY	11.0	1.718715	0.01857585	0.06380873	PRF1,CD247,ITGB2,ITGAL,CD3G,FAS,CD3E,ICAM1
BIOCARTA_EPHA4_PATHWAY	10.0	1.7170098	0.009063444	0.06271473	ACTA1,LYN,ITGA1,SELP,L1CAM,FYN,ITGB1,RAP1B
BIOCARTA_TCYTOTOXIC_PATHWAY	12.0	1.7168612	0.0089552235	0.060552157	CD247,ITGB2,PTPRC,CD2,THY1,ITGAL,CD3G,CD8A,CD3E,ICAM1
BIOCARTA_FCER1_PATHWAY	37.0	1.7059879	0.009478673	0.06540807	FCER1A,BTK,FCER1G,PIK3R1,NFATC2,PIK3CG,FOS,NFATC1,LYN,NFATC4,JUN,ELK1,VAV1,MAPK3
BIOCARTA_CARDIACEGF_PATHWAY	16.0	1.7001134	0.014336918	0.06773016	ADAM12,EDNRB,EDNRA,PRKCA,FOS,JUN,MYC,RHOA
BIOCARTA_ARENRF2_PATHWAY	12.0	1.6910781	0.019283747	0.070718125	PRKCA,FXYD2,FOS,MAFF,JUN,MAFK
BIOCARTA_BCR_PATHWAY	33.0	1.6903574	0.00877193	0.068771124	BTK,PRKCA,NFATC2,FOS,CD79B,NFATC1,LYN,NFATC4,JUN,ELK1,VAV1,MAPK3,CD79A
BIOCARTA_HSP27_PATHWAY	14.0	1.6827292	0.025316456	0.07160649	ACTA1,TNF,MAPKAPK3,IL1A,HSPB1,HSPB2,APAF1,BCL2,FAS
BIOCARTA_TCR_PATHWAY	43.0	1.6698425	0.0054054055	0.07650167	CD247,PRKCA,PIK3R1,NFATC2,PIK3CG,FOS,NFATC1,PTPN7,NFATC4,JUN,ELK1,VAV1,CD3G,NFKBIA,MAPK3,FYN,PIK3CA,CD3E,PPP3CB,RAF1,RAC1,NFKB1
BIOCARTA_ACE2_PATHWAY	11.0	1.6583533	0.025641026	0.08188026	CMA1,COL4A1,COL4A2
